exp,log_path,train_file,seed,split_level,neg_pos_ratio,train_n,dev_n,test_n,best_dev_micro_f1,best_test_micro_f1,has_test
re_pair_cls,/root/msy/ner/BERT-RE/experiments/re_pair_cls/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,42,sentence,2.0,1149,442,296,0.4938,0.6667,True
grid_negpos_r-1_seed21_splitsentence_20260323_140809,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed21_splitsentence_20260323_140809/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,21,sentence,-1.0,3324,350,388,0.6494,0.6133,True
grid_negpos_r-1_seed42_splitsentence_20260323_140809,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed42_splitsentence_20260323_140809/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,42,sentence,-1.0,3324,442,296,0.6452,0.7436,True
grid_negpos_r-1_seed87_splitsentence_20260323_140809,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed87_splitsentence_20260323_140809/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,87,sentence,-1.0,2966,442,654,0.5806,0.4324,True
grid_negpos_r-1_seed123_splitsentence_20260323_140809,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed123_splitsentence_20260323_140809/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,123,sentence,-1.0,3008,640,414,0.5934,0.5758,True
grid_negpos_r1_seed13_splitsentence_20260323_140809,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed13_splitsentence_20260323_140809/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,13,sentence,1.0,786,370,198,0.4912,0.4694,True
grid_negpos_r1_seed21_splitsentence_20260323_140809,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed21_splitsentence_20260323_140809/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,21,sentence,1.0,756,350,388,0.4272,0.419,True
grid_negpos_r1_seed42_splitsentence_20260323_140809,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed42_splitsentence_20260323_140809/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,42,sentence,1.0,766,442,296,0.4146,0.6506,True
grid_negpos_r1_seed87_splitsentence_20260323_140809,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed87_splitsentence_20260323_140809/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,87,sentence,1.0,756,442,654,0.3514,0.2192,True
grid_negpos_r1_seed123_splitsentence_20260323_140809,/root/msy/ner/BERT-RE/experiments/grid_negpos_r1_seed123_splitsentence_20260323_140809/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,123,sentence,1.0,726,640,414,0.4576,0.3853,True
grid_negpos_r-1_seed13_splitsentence_20260323_145848,/root/msy/ner/BERT-RE/experiments/grid_negpos_r-1_seed13_splitsentence_20260323_145848/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,13,sentence,-1.0,3494,370,198,,,False
grid_negpos_r2_seed13_splitsentence_20260323_152558,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed13_splitsentence_20260323_152558/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,13,sentence,2.0,1179,370,198,0.6067,0.4828,True
grid_negpos_r2_seed21_splitsentence_20260323_152558,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed21_splitsentence_20260323_152558/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,21,sentence,2.0,1134,350,388,0.4828,0.4835,True
grid_negpos_r2_seed42_splitsentence_20260323_152558,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed42_splitsentence_20260323_152558/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,42,sentence,2.0,1149,442,296,0.4938,0.6667,True
grid_negpos_r2_seed87_splitsentence_20260323_152558,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed87_splitsentence_20260323_152558/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,87,sentence,2.0,1134,442,654,0.4655,0.3261,True
grid_negpos_r2_seed123_splitsentence_20260323_152558,/root/msy/ner/BERT-RE/experiments/grid_negpos_r2_seed123_splitsentence_20260323_152558/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,123,sentence,2.0,1089,640,414,0.5143,0.4468,True
grid_negpos_r4_seed13_splitsentence_20260323_152558,/root/msy/ner/BERT-RE/experiments/grid_negpos_r4_seed13_splitsentence_20260323_152558/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,13,sentence,4.0,1965,370,198,0.7123,0.56,True
grid_negpos_r4_seed21_splitsentence_20260323_152558,/root/msy/ner/BERT-RE/experiments/grid_negpos_r4_seed21_splitsentence_20260323_152558/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,21,sentence,4.0,1890,350,388,0.5517,0.5227,True
grid_negpos_r4_seed42_splitsentence_20260323_152558,/root/msy/ner/BERT-RE/experiments/grid_negpos_r4_seed42_splitsentence_20260323_152558/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,42,sentence,4.0,1915,442,296,0.5507,0.6914,True
grid_negpos_r4_seed87_splitsentence_20260323_152558,/root/msy/ner/BERT-RE/experiments/grid_negpos_r4_seed87_splitsentence_20260323_152558/train.log,/root/msy/ner/BERT-RE/admin-ree.jsonl,87,sentence,4.0,1890,442,654,0.4884,0.4375,True
